glib2.x86_64                       2.86.4-2.fc43               updates
glibc.x86_64                       2.42-10.fc43                updates
glibc-common.x86_64                2.42-10.fc43                updates
glibc-minimal-langpack.x86_64      2.42-10.fc43                updates
gnutls.x86_64                      3.8.12-1.fc43               updates
krb5-libs.x86_64                   1.22.2-3.fc43               updates
libblkid.x86_64                    2.41.4-7.fc43               updates
libcap-ng.x86_64                   0.9.2-1.fc43                updates
libdnf5.x86_64                     5.2.18.0-2.fc43             updates
libdnf5-cli.x86_64                 5.2.18.0-2.fc43             updates
libmount.x86_64                    2.41.4-7.fc43               updates
libsmartcols.x86_64                2.41.4-7.fc43               updates
libsolv.x86_64                     0.7.36-2.fc43               updates
libssh.x86_64                      0.11.4-1.fc43               updates
libssh-config.noarch               0.11.4-1.fc43               updates
libtasn1.x86_64                    4.21.0-1.fc43               updates
libuuid.x86_64                     2.41.4-7.fc43               updates
openldap.x86_64                    2.6.13-1.fc43               updates
p11-kit.x86_64                     0.26.2-1.fc43               updates
p11-kit-trust.x86_64               0.26.2-1.fc43               updates
rpm-sequoia.x86_64                 1.10.1-1.fc43               updates
systemd-libs.x86_64                258.7-1.fc43                updates
systemd-standalone-sysusers.x86_64 258.7-1.fc43                updates
tzdata.noarch                      2026a-1.fc43                updates
util-linux-core.x86_64             2.41.4-7.fc43               updates
vim-data.noarch                    2:9.2.280-1.fc43            updates
vim-minimal.x86_64                 2:9.2.280-1.fc43            updates
zlib-ng-compat.x86_64              2.3.3-2.fc43                updates
TIMING: run=4 elapsed_ms=909 exit=0
--- Run 5/5 ---
audit-libs.x86_64                  4.1.4-1.fc43                updates
ca-certificates.noarch             2025.2.80_v9.0.304-1.2.fc43 updates
coreutils.x86_64                   9.7-8.fc43                  updates
coreutils-common.x86_64            9.7-8.fc43                  updates
dnf5.x86_64                        5.2.18.0-2.fc43             updates
dnf5-plugins.x86_64                5.2.18.0-2.fc43             updates
file-libs.x86_64                   5.46-9.fc43                 updates
glib2.x86_64                       2.86.4-2.fc43               updates
glibc.x86_64                       2.42-10.fc43                updates
glibc-common.x86_64                2.42-10.fc43                updates
glibc-minimal-langpack.x86_64      2.42-10.fc43                updates
gnutls.x86_64                      3.8.12-1.fc43               updates
krb5-libs.x86_64                   1.22.2-3.fc43               updates
libblkid.x86_64                    2.41.4-7.fc43               updates
libcap-ng.x86_64                   0.9.2-1.fc43                updates
libdnf5.x86_64                     5.2.18.0-2.fc43             updates
libdnf5-cli.x86_64                 5.2.18.0-2.fc43             updates
libmount.x86_64                    2.41.4-7.fc43               updates
libsmartcols.x86_64                2.41.4-7.fc43               updates
libsolv.x86_64                     0.7.36-2.fc43               updates
libssh.x86_64                      0.11.4-1.fc43               updates
libssh-config.noarch               0.11.4-1.fc43               updates
libtasn1.x86_64                    4.21.0-1.fc43               updates
libuuid.x86_64                     2.41.4-7.fc43               updates
openldap.x86_64                    2.6.13-1.fc43               updates
p11-kit.x86_64                     0.26.2-1.fc43               updates
p11-kit-trust.x86_64               0.26.2-1.fc43               updates
rpm-sequoia.x86_64                 1.10.1-1.fc43               updates
systemd-libs.x86_64                258.7-1.fc43                updates
systemd-standalone-sysusers.x86_64 258.7-1.fc43                updates
tzdata.noarch                      2026a-1.fc43                updates
util-linux-core.x86_64             2.41.4-7.fc43               updates
vim-data.noarch                    2:9.2.280-1.fc43            updates
vim-minimal.x86_64                 2:9.2.280-1.fc43            updates
zlib-ng-compat.x86_64              2.3.3-2.fc43                updates
TIMING: run=5 elapsed_ms=989 exit=0
=== COMPLETE ===
